Autor?;Francis Scott Fidgerald
Druh?;Epika
Žánr?;Realistický román
Téma a motiv?;Sen a jeho naplnění, rozdíl vrstev (bohatí nedokážou milovat)
Prostředí a čas?;USA - New York v prohibici 1922
Kompozice?;Retrospektivní - vypravěč mluví o tom co se stalo
Vypravěč?;Ich-forma Nick Carraway
Postavy?;Carraway, Gatsby, Buchananová - x, Gorge Wilson, Bakerová
Jazykové prostředky?;Podrobné popisy postav a prostředí
Kontext tvorby?;Ztracená generace (šel pro americký sen)
Další jeho tvorba?;Něžná je noc, Krásní a prokletí
Kulturní kontext?;Ztracená generace, realistický proud (vševědoucí vypravěč, společnost)
Další autoři?;Hemingway, Steinback, Exupery
